3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score,correct
http://data.linkedevents.org/location/transit/Nice/stop/b1b51472-d612-3053-ac36-6a07565f8359,Saint-Laurent-du-Var Gare,gare de Saint-Laurent-du-Var,http://www.wikidata.org/entity/Q15188534,96.02.00,y
http://data.linkedevents.org/location/b5183cee-7d9a-3085-825f-ace9c1522f04,Museo Marc-Chagall,musée Marc-Chagall,http://www.wikidata.org/entity/Q3329265,96.00.00,y
http://data.linkedevents.org/location/be084093-7487-4c11-aad0-0abaaa298ca6,Stade Charles ehhmann,stade Charles-Ehrmann,http://www.wikidata.org/entity/Q1767749,96.00.00,y
http://data.linkedevents.org/location/ef91b102-fb0b-39e4-b7e6-d89924595548,saint jean l'evangeliste (église),église Saint-Jean-l'Évangéliste de Nice,http://www.wikidata.org/entity/Q15958164,96.00.00,y
http://data.linkedevents.org/location/fa837516-eb3c-3abc-b4bd-d1245760944b,Le Palais De l'Agriculture,palais de l'agriculture,http://www.wikidata.org/entity/Q4277750,95.08.00,y
http://data.linkedevents.org/location/1a0bb0c1-efcb-3a5e-8c54-86c048ef8347,Sur la Place Massena,place Masséna,http://www.wikidata.org/entity/Q3389982,95.08.00,y
http://data.linkedevents.org/location/058e74b6-3b1f-3d19-9d3a-9b5c2f21ad45,Zara Cap 3000,Cap 3000,http://www.wikidata.org/entity/Q2936988,95.08.00,y
http://data.linkedevents.org/location/63128343-0559-355e-80f4-52c874b6539f,Eglise Sainte Monique,église Sainte-Monique de Nice,http://www.wikidata.org/entity/Q27345388,95.06.00,y
http://data.linkedevents.org/location/transit/Nice/stop/50f0da64-0b1a-38d5-8a23-ce6c3603ead3,Jean Médecin,avenue Jean-Médecin,http://www.wikidata.org/entity/Q2873716,95.06.00,y
http://data.linkedevents.org/location/f79d0283-b4bd-3211-9ad5-14ade37f4c46,Mairie de Villefranche sur Mer,Villefranche-sur-Mer,http://www.wikidata.org/entity/Q207080,95.06.00,y
http://data.linkedevents.org/location/a77827f6-6a87-3261-8713-d3334b118ccb,Église Sainte Thérèse,église Sainte-Thérèse de Nice,http://www.wikidata.org/entity/Q27345400,95.06.00,y
http://data.linkedevents.org/location/6e8a58ac-1f6d-3d50-aaec-9f7cb674c851,Eglise Notre Dame de Lourdes,église Notre-Dame-de-Lourdes de Nice,http://www.wikidata.org/entity/Q15958168,95.04.00,y
http://data.linkedevents.org/location/transit/Nice/stop/e896983b-e0a6-3bb6-842b-f9167990f616,Garibaldi,place Garibaldi,http://www.wikidata.org/entity/Q3389830,95.04.00,y
http://data.linkedevents.org/location/a256a95b-20fc-346a-89b8-b36b750123ec,Église Saint Joseph,église Saint-Joseph de Nice,http://www.wikidata.org/entity/Q27345235,95.04.00,y
http://data.linkedevents.org/location/a98a064b-1b7a-462d-b8df-3dfcc05a7c67,Théâtre de verdure,théâtre de verdure de Nice,http://www.wikidata.org/entity/Q3527730,95.02.00,y
http://data.linkedevents.org/location/0a3f2da9-e1d5-3539-aa29-45239666f622,"[u'Eglise Saint Marc', u'\xc9glise Saint Marc']",église Saint-Marc de Nice,http://www.wikidata.org/entity/Q27345248,95.00.00,y
http://data.linkedevents.org/location/25cf9930-650e-41c8-9e7f-987666e2f721,Musée d'art moderne et d'art contemprorain,musée d'art moderne et d'art contemporain de Nice,http://www.wikidata.org/entity/Q936859,95.00.00,y
